country_code,Gold Medal,Silver Medal,Bronze Medal,Total
AIN,1,3,1,5
ALB,0,0,2,2
ALG,2,0,1,3
ARG,1,1,1,3
ARM,0,3,1,4
AUS,18,19,16,53
AUT,2,0,3,5
AZE,2,2,3,7
BEL,2,1,5,8
BOT,1,1,0,2
BRA,3,7,10,20
BRN,2,1,1,4
BUL,3,0,3,6
CAN,9,7,11,27
CHI,1,1,0,2
CHN,39,27,24,90
CIV,0,0,1,1
COL,0,3,1,4
CPV,0,0,1,1
CRO,2,2,3,7
CUB,2,1,6,9
CYP,0,1,0,1
CZE,3,0,2,5
DEN,2,2,5,9
DMA,1,0,0,1
DOM,1,0,2,3
ECU,1,2,2,5
EGY,1,1,1,3
EOR,0,0,1,1
ESP,5,4,9,18
ETH,1,3,0,4
FIJ,0,1,0,1
FRA,16,26,22,64
GBR,14,21,29,64
GEO,3,3,1,7
GER,11,13,8,32
GRE,1,1,6,8
GRN,0,0,2,2
GUA,1,0,1,2
HKG,2,0,2,4
HUN,6,7,6,19
INA,2,0,0,2
IND,0,1,5,6
IRI,3,6,3,12
IRL,4,0,3,7
ISR,1,4,1,6
ITA,12,13,13,38
JAM,1,3,2,6
JOR,0,1,0,1
JPN,20,12,13,45
KAZ,1,3,3,7
KEN,4,2,5,11
KGZ,0,2,4,6
KOR,13,9,10,32
KOS,0,1,1,2
LCA,1,1,0,2
LTU,0,2,2,4
MAR,1,0,1,2
MAS,0,0,2,2
MDA,0,1,3,4
MEX,0,3,2,5
MGL,0,1,0,1
NED,15,7,12,34
NOR,4,1,3,8
NZL,10,7,3,20
PAK,1,0,0,1
PAN,0,1,0,1
PER,0,0,1,1
PHI,2,0,2,4
POL,1,4,5,10
POR,1,2,1,4
PRK,0,2,4,6
PUR,0,0,2,2
QAT,0,0,1,1
ROU,3,4,2,9
RSA,1,3,2,6
SGP,0,0,1,1
SLO,2,1,0,3
SRB,3,1,1,5
SUI,1,2,5,8
SVK,0,0,1,1
SWE,4,4,3,11
THA,1,3,2,6
TJK,0,0,3,3
TPE,2,0,5,7
TUN,1,1,1,3
TUR,0,3,5,8
UGA,1,1,0,2
UKR,3,5,4,12
USA,40,44,42,126
UZB,8,2,3,13
ZAM,0,0,1,1
